index,total_in_score,total_out_score,id,title,abstract
1,1,0,322,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגלראשונה מדווח על פגיעה בצוללת התקפית בלתי מאוישת של החות'ים@N12chat
2,0,0,362,Air Strikes and Clashes (41 vertices),"יובל אראלבעוד כשעה יפורסם פסק הדין בבג""ץ הנבצרות@N12chat"
3,0,0,371,Air Strikes and Clashes (41 vertices),"דין פישרבשל שיבושים במערכת האיתות, נעצרה תנועת הדנקל באזור המרכז@N12chat"
4,0,0,405,Air Strikes and Clashes (41 vertices),מקורות לבנוניים: כעשרים רקטות נורו לפני כרבע שעה מדרום לבנון לשטח ישראל.###במקביל נשמעו אזעקות גם במרכז הארץ. הזרוע הצבאית של חמאס קיבלה אחריות על שיגור רקטות לעבר תל אביב.
5,0,0,556,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגתיעוד הנזק מהשפעות רעידת האדמה ביפן@N12chat
6,0,0,693,Air Strikes and Clashes (41 vertices),"אסף רוזנצוייגדגל ישראל הושחת באתר בנייה של בית כנסת חדש בעיר בולטימור בארה""ב@N12chat"
7,1,0,819,Air Strikes and Clashes (41 vertices),דסק החוץ📝התקשורת הירדנית מדווחת על עצירה של ארבעה ישראלים אחרי שחצו את הגבול למדינה@N12chat
8,0,0,949,Air Strikes and Clashes (41 vertices),"תושב מרכז הרצועה סוקר עבור המפונים את מצב מגדלי ""עין ג'אלות"" בנציראת (מרכז הרצועה) עבור המפונים. הוא מסביר איזה מגדל נותר עומד ואיזה נהרס בעקבות התקיפות של צה""ל לפנות בוקר."
9,0,0,1250,Air Strikes and Clashes (41 vertices),"יונה לייבזוןניו יורק: הילה שושני, בת ה-13 ששוחררה משבי חמאס, נאמה בעצרת בעיר וקראה לעולם לפעול למען שחרור החטופים והחטופות@N12chat"
10,0,0,1288,Air Strikes and Clashes (41 vertices),"דסק החוץבטוויטר צייץ קמרון: ""מתנחלים קיצוניים, המתמקדים והורגים אזרחים פלסטינים, מערערים את הביטחון והיציבות של ישראלים ופלסטינים כאחד. ישראל חייבת לנקוט בפעולה חזקה יותר כדי להפסיק את אלימות המתנחלים ולחייב את העבריינים באחריות. אנחנו אוסרים על האחראים לאלימות מתנחלים מלהיכנס לבריטניה כדי לוודא שהמדינה שלנו לא יכולה להוות בית לאנשים שמבצעים את המעשים המפחידים האלה""@N12chat"
11,0,0,1475,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגדיווחים בתימן על סדרת תקיפות אמריקניות בבירה צנעא@N12chat
12,1,0,1476,Air Strikes and Clashes (41 vertices),"מבזקן 12תחקיר דובר צה""ל: החטוף יוסי שרעבי ז""ל נהרג ככל הנראה מתקיפה צה""ל במבנה סמוך למקום שבו הוחזק בעזה. על פי התחקיר, בצה""ל לא ידעו ששרעבי נמצא באזור התקיפה@N12chat"
13,1,0,2041,Air Strikes and Clashes (41 vertices),"דסק העולם הערביחיזבאללה: ""האצבע על ההדק""@N12chat"
14,1,0,2134,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגתיעוד מהתקיפה בחודידה@N12chat
15,0,0,2165,Air Strikes and Clashes (41 vertices),"אור רבידשקד, אחיו של יובל קסטלמן ז""ל, לאחר הדיון בביהמ""ש הלילה@N12chat"
16,0,0,2542,Air Strikes and Clashes (41 vertices),"הקמת אוהלים ברפיח: ניילון מתחת, כדי למנוע חדירת גשמים.כדי להגיב לכתבה לחצו כאן"
17,0,0,2561,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגדיווח בתימן על תקיפה חמישית בשעתיים האחרונות@N12chat
18,0,0,2562,Air Strikes and Clashes (41 vertices),"יובל אראל📝הפרקליטות הגישה כתב אישום נגד רועי קומימי, בן 31 מנתיבות, שהתחזה לרואה חשבון וקיבל במרמה אלפי שקלים. לפי כתב האישום, קומימי נהג לפנות לאנשים שחיפשו עבודה ברשת ולהציג בפניהם מצג שווא לפיו ביכולתו להציע להם משרות המתאימות לכישוריהם@N12chat"
19,1,0,2871,Air Strikes and Clashes (41 vertices),"דסק העולם הערבידיווחים פלסטיניים: תקיפות עצימות של צה""ל במחנה הפליטים אל-מע'אזי שבמרכז רצועת עזה@N12chat"
20,0,0,2907,Air Strikes and Clashes (41 vertices),"דסק העולם הערביעל פי דיווחים, ההרוגים בלבנון הם שני פעילי חיזבאללה@N12chat"
21,0,0,3328,Air Strikes and Clashes (41 vertices),"יונה לייבזון📝הנשיא ביידן בהצהרה לציון 100 ימים של החטופים בשבי חמאס: ""החטופים ומשפחותיהם תמיד היו בראש מעייני, בזמן שאני וצוות הביטחון הלאומי שלי פועלים כל הזמן לדאוג לשחרורם. ביום הקשה הזה אני חוזר על הבטחתי לכל החטופים ומשפחותיהם - אנחנו איתכם""@N12chat"
22,0,0,3460,Air Strikes and Clashes (41 vertices),"הפלסטינים מדווחים: המבצע הצבאי של צה""ל בטולכרם ומחנות הפליטים של נמשך כבר למעלה מ 40 שעות.כדי להגיב לכתבה לחצו כאן"
23,0,0,3675,Air Strikes and Clashes (41 vertices),"דסק החוץ📝רויטרס: במשרד הבריאות הפלסטיני מדווחים על לפחות שני פלסטינים שנהרגו מאש צה""ל בפעילות הלילה בטול כרם. בנוסף, פעיל בג'נין מת מפצעיו@N12chat"
24,1,0,3790,Air Strikes and Clashes (41 vertices),"אסף רוזנצוייגדיווח בתימן על תקיפה אמריקנית באזור חודידה, עיר נמל במערב המדינה@N12chat"
25,0,1,3791,Air Strikes and Clashes (41 vertices),דנה ויסקבינט המלחמה יתכנס הערב בשעה 18:00. בשעה 21:00 צפוי להתכנס הקבינט המדיני-בטחוני@N12chat
26,0,0,3933,Air Strikes and Clashes (41 vertices),ניר דבורילוחמי חטיבה 401 ושייטת 13 חיסלו מחבלי חמאס שהסתתרו בשני בתי ספר בשכונת רימאל שבעזה@N12chat
27,0,0,3935,Air Strikes and Clashes (41 vertices),ירון אברהםגם השניים שחוסלו לצידו של עארורי - בכירים מאוד@N12chat
28,0,0,3954,Air Strikes and Clashes (41 vertices),"°אנחנו צריכים את עזרתך! המדינה שלנו במלחמה.https://tic.li/yGKAnMyבישוב קידה בבנימין גרות ​​120 משפחות, עשרות גברים גויסו למילואים בצפון ובדרום.ואלו שנשארו מתנדבים לשמור על היישוב.אנו צריכים עזרה לקניית ציוד צבאי עבור כיתת הכוננות שלנו:מצלמות, פנסים, עזרה ראשונה, בניית עמדות שמירה ועוד.. יש כאן נשים חזקות שנשארו עם ילדיהן, בלי בני הזוג שלהן, אבל הן זקוקות לעזרתכם בציוד בטחון להגנת היישוב.נשמח לכל תרומה קטנה או גדולה.כרגע ""קרן שיבת ציון"" עוזרת לנו לגייס ואף מכפילה כל סכום שנשיג. לתרומה 👇👇👇https://tic.li/yGKAnMyעזרו לנו לנצח!!!לפרטים נוספים -מוריה👇👇👇 https://wa.me/972587244202User sent a document"
29,0,0,4104,Air Strikes and Clashes (41 vertices),אור רבידתיעוד מתקרית הירי ברמלה בה נפצע קשה תושב העיר בן 13@N12chat
30,1,0,4189,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגדיווח בתימן על שתי תקיפות אמריקניות באזור חודידה@N12chat
